"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2022","124.55","123.21","125.66","123.18","880.45K","0.69%"
"12/13/2022","123.70","124.04","125.72","122.87","1.05M","0.89%"
"12/12/2022","122.61","120.84","122.61","120.55","948.18K","1.38%"
"12/09/2022","120.94","120.54","121.40","120.14","1.86M","1.37%"
"12/08/2022","119.31","118.43","119.95","118.41","1.31M","0.97%"
"12/07/2022","118.16","118.49","118.94","117.84","570.72K","-0.39%"
"12/06/2022","118.62","119.25","119.74","118.08","945.11K","-0.86%"
"12/05/2022","119.65","119.62","120.46","118.93","708.69K","-0.98%"
"12/02/2022","120.84","119.53","121.11","119.53","629.95K","-0.69%"
"12/01/2022","121.68","121.76","122.37","120.64","767.37K","0.16%"
"11/30/2022","121.49","118.20","121.53","117.75","3.07M","2.93%"
"11/29/2022","118.03","117.52","118.19","117.08","612.25K","0.43%"
"11/28/2022","117.52","117.74","118.77","117.03","786.26K","-1.46%"
"11/25/2022","119.26","119.68","119.87","119.04","451.53K","-0.08%"
"11/23/2022","119.35","117.79","119.93","117.62","928.73K","0.81%"
"11/22/2022","118.39","117.27","118.55","117.13","1.45M","1.39%"
"11/21/2022","116.77","116.50","117.72","116.39","1.02M","0.18%"
"11/18/2022","116.56","116.31","116.93","115.93","811.02K","0.98%"
"11/17/2022","115.43","114.21","115.89","114.00","1.45M","0.10%"
"11/16/2022","115.32","116.01","116.44","115.28","806.95K","-0.83%"
"11/15/2022","116.29","116.98","118.90","115.58","1.53M","0.62%"
"11/14/2022","115.57","115.52","117.49","115.43","867.97K","-0.34%"
"11/11/2022","115.97","114.60","116.13","114.05","798.87K","1.19%"
"11/10/2022","114.61","113.50","114.75","113.48","1.13M","3.69%"
"11/09/2022","110.53","111.39","111.92","110.53","867.73K","-1.25%"
"11/08/2022","111.93","111.84","113.15","111.12","974.66K","0.56%"
"11/07/2022","111.31","110.74","111.95","110.54","742.46K","0.52%"
"11/04/2022","110.73","110.34","112.35","109.74","1.24M","1.43%"
"11/03/2022","109.17","110.52","111.22","108.97","891.60K","-2.48%"
"11/02/2022","111.95","112.26","114.41","111.65","1.12M","-0.59%"
"11/01/2022","112.62","113.26","113.47","112.10","696.06K","0.08%"
"10/31/2022","112.53","112.46","113.28","111.97","648.14K","-0.55%"
"10/28/2022","113.15","110.29","113.18","110.29","1.17M","2.19%"
"10/27/2022","110.72","111.57","112.77","110.52","1.22M","-0.52%"
"10/26/2022","111.30","111.10","112.84","110.82","794.84K","-0.11%"
"10/25/2022","111.42","110.85","111.65","110.52","1.40M","0.73%"
"10/24/2022","110.61","110.10","111.32","110.04","858.02K","0.88%"
"10/21/2022","109.64","107.37","110.04","107.37","698.55K","1.89%"
"10/20/2022","107.61","107.99","108.89","107.41","587.61K","-0.11%"
"10/19/2022","107.73","106.98","108.85","106.98","868.74K","-0.31%"
"10/18/2022","108.07","109.89","110.05","107.26","642.91K","0.23%"
"10/17/2022","107.82","107.83","108.71","107.59","904.28K","1.55%"
"10/14/2022","106.17","107.07","107.60","105.72","657.75K","-0.40%"
"10/13/2022","106.60","104.26","108.16","103.55","1.94M","0.61%"
"10/12/2022","105.95","106.01","106.85","105.38","784.36K","0.17%"
"10/11/2022","105.77","106.99","107.11","105.50","831.94K","-1.20%"
"10/10/2022","107.06","110.05","110.13","106.46","983.62K","-2.50%"
"10/07/2022","109.81","110.84","111.47","109.05","513.74K","-2.00%"
"10/06/2022","112.05","112.51","113.54","111.99","453.95K","-0.81%"
"10/05/2022","112.97","111.69","113.32","110.87","856.27K","0.06%"
"10/04/2022","112.90","109.97","113.00","109.97","1.31M","4.00%"
"10/03/2022","108.56","106.85","108.86","106.64","757.78K","1.97%"
"09/30/2022","106.46","107.43","108.79","106.46","1.03M","-0.95%"
"09/29/2022","107.48","108.50","108.66","106.25","1.26M","-1.58%"
"09/28/2022","109.21","107.87","109.68","107.79","612.24K","0.93%"
"09/27/2022","108.20","108.40","109.15","107.73","574.15K","0.45%"
"09/26/2022","107.71","109.20","109.65","107.64","1.04M","-1.72%"
"09/23/2022","109.60","110.53","110.87","108.86","910.09K","-1.09%"
"09/22/2022","110.81","110.30","111.26","109.85","941.25K","-0.17%"
"09/21/2022","111.00","111.75","113.56","110.95","870.78K","0.00%"
"09/20/2022","111.00","111.55","111.88","110.67","1.28M","-1.31%"
"09/19/2022","112.47","111.30","112.78","111.14","1.17M","0.03%"
"09/16/2022","112.44","112.66","113.40","111.48","5.54M","-1.08%"
"09/15/2022","113.67","115.34","115.91","113.36","1.46M","-2.11%"
"09/14/2022","116.12","115.33","116.38","114.85","1.72M","0.88%"
"09/13/2022","115.11","116.17","116.69","114.93","1.29M","-3.01%"
"09/12/2022","118.68","118.11","119.40","117.73","2.29M","0.47%"
"09/09/2022","118.12","117.50","118.85","117.34","711.82K","0.98%"
